train_loss,train_acc,test_loss,test_acc,lr
0.9605433083343505,65.866,0.9456123283386231,66.81,1.0000000000000002e-07
0.9588549459075928,65.938,0.9470430740356446,66.67,1.0000000000000002e-07
0.9587767993164062,65.948,0.9498011348724366,66.6,1.0000000000000002e-07
0.95556035987854,66.252,0.9452401035308838,66.8,1.0000000000000002e-07
0.9539850415039063,66.278,0.94716692237854,66.81,1.0000000000000002e-07
0.9559988753509522,66.02,0.9460150081634522,66.78,1.0000000000000002e-07
0.9573199789428711,66.06,0.9454466133117676,66.71,1.0000000000000002e-07
0.9590511441040039,66.08,0.9449776840209961,66.55,1.0000000000000002e-07
0.9578373336029052,66.228,0.9438739067077637,66.82,1.0000000000000002e-07
0.9573794120025635,66.126,0.9455397048950195,66.67,1.0000000000000002e-07
0.9583487060546875,66.154,0.9489954830169678,66.72,1.0000000000000002e-07
0.9599966864776611,65.97,0.9483840602874756,66.63,1.0000000000000002e-07
0.9571381893157959,66.178,0.9466090911865235,66.79,1.0000000000000002e-07
0.9553951861572265,66.198,0.9475909454345703,66.66,1.0000000000000002e-07
0.9553091130828858,66.198,0.946258143234253,66.83,1.0000000000000002e-07
0.9528579145812989,66.294,0.9449257015228272,66.89,1.0000000000000002e-07
0.9559741381835938,66.126,0.9445891189575195,66.79,1.0000000000000002e-07
0.9610372817993164,65.976,0.9458919384002685,66.76,1.0000000000000002e-07
0.9552087816619873,66.162,0.9459814620971679,66.79,1.0000000000000002e-07
0.9564815222167968,66.17,0.9478305137634278,66.56,1.0000000000000002e-07
0.95522157371521,66.184,0.9456098564147949,66.65,1.0000000000000002e-07
0.9555504550170898,66.21,0.9434973300933838,66.82,1.0000000000000002e-07
0.9596267819976807,66.2,0.9519652759552002,66.49,1.0000000000000002e-07
0.9567128652954101,66.072,0.9463290538787842,66.77,1.0000000000000002e-07
0.9546322709655761,66.366,0.9479851352691651,66.6,1.0000000000000002e-07
0.9558755075073242,66.2,0.9433936954498291,67.0,1.0000000000000002e-07
0.9595912107467651,66.042,0.9461416915893555,66.94,1.0000000000000002e-07
